frameIndex;frameTime;pcm_LOGenergy
71;0.710000;-6.509054e+00
72;0.720000;-6.164058e+00
73;0.730000;-6.688681e+00
74;0.740000;-7.910398e+00
75;0.750000;-7.771422e+00
76;0.760000;-6.944777e+00
77;0.770000;-6.537045e+00
78;0.780000;-6.663290e+00
79;0.790000;-7.115587e+00
80;0.800000;-7.295558e+00
81;0.810000;-7.313611e+00
82;0.820000;-7.364268e+00
83;0.830000;-7.383010e+00
84;0.840000;-7.187675e+00
85;0.850000;-7.255556e+00
86;0.860000;-7.336909e+00
87;0.870000;-7.885291e+00
88;0.880000;-8.125618e+00
89;0.890000;-8.471457e+00
90;0.900000;-8.457055e+00
91;0.910000;-6.002541e+00
92;0.920000;-5.170755e+00
93;0.930000;-4.487965e+00
94;0.940000;-4.201752e+00
95;0.950000;-3.790037e+00
96;0.960000;-3.769508e+00
97;0.970000;-3.614130e+00
98;0.980000;-3.422699e+00
99;0.990000;-3.035358e+00
100;1.000000;-2.616601e+00
101;1.010000;-2.562766e+00
102;1.020000;-2.479151e+00
103;1.030000;-2.583405e+00
104;1.040000;-2.677560e+00
105;1.050000;-2.835133e+00
106;1.060000;-3.327002e+00
107;1.070000;-5.798934e+00
108;1.080000;-8.308707e+00
109;1.090000;-8.926717e+00
110;1.100000;-8.973655e+00
111;1.110000;-7.739194e+00
112;1.120000;-6.980775e+00
113;1.130000;-6.527586e+00
114;1.140000;-6.570762e+00
115;1.150000;-6.262053e+00
116;1.160000;-5.977673e+00
117;1.170000;-5.747427e+00
118;1.180000;-5.474329e+00
119;1.190000;-5.600907e+00
120;1.200000;-5.555405e+00
121;1.210000;-5.438075e+00
122;1.220000;-5.422728e+00
123;1.230000;-5.564977e+00
124;1.240000;-5.662038e+00
125;1.250000;-5.856187e+00
126;1.260000;-5.987417e+00
127;1.270000;-6.115727e+00
128;1.280000;-6.223251e+00
129;1.290000;-6.503380e+00
130;1.300000;-6.857425e+00
131;1.310000;-6.969110e+00
132;1.320000;-7.087968e+00
133;1.330000;-7.183276e+00
134;1.340000;-7.301250e+00
135;1.350000;-7.330158e+00
136;1.360000;-7.465061e+00
137;1.370000;-7.320031e+00
138;1.380000;-7.300030e+00
139;1.390000;-7.157290e+00
140;1.400000;-7.018352e+00
141;1.410000;-6.936583e+00
142;1.420000;-7.020099e+00
143;1.430000;-7.190358e+00
144;1.440000;-7.336976e+00
145;1.450000;-7.455074e+00
146;1.460000;-7.697443e+00
147;1.470000;-8.056626e+00
148;1.480000;-8.490520e+00
149;1.490000;-9.360560e+00
150;1.500000;-1.051523e+01
151;1.510000;-1.180237e+01
152;1.520000;-1.209598e+01
153;1.530000;-1.212875e+01
154;1.540000;-1.228207e+01
155;1.550000;-1.175269e+01
156;1.560000;-1.169275e+01
157;1.570000;-1.225600e+01
158;1.580000;-1.272078e+01
159;1.590000;-1.294958e+01
160;1.600000;-1.254818e+01
161;1.610000;-1.215686e+01
162;1.620000;-1.189660e+01
163;1.630000;-1.241764e+01
164;1.640000;-1.273472e+01
165;1.650000;-1.242516e+01
166;1.660000;-1.253127e+01
167;1.670000;-1.244064e+01
168;1.680000;-1.234712e+01
169;1.690000;-1.260506e+01
170;1.700000;-1.301916e+01
171;1.710000;-1.314566e+01
172;1.720000;-1.301640e+01
173;1.730000;-1.309067e+01
174;1.740000;-1.294593e+01
175;1.750000;-1.253753e+01
176;1.760000;-1.166644e+01
177;1.770000;-1.162309e+01
178;1.780000;-1.216863e+01
179;1.790000;-1.253936e+01
180;1.800000;-1.246827e+01
181;1.810000;-1.288802e+01
182;1.820000;-1.255152e+01
183;1.830000;-1.271599e+01
184;1.840000;-1.299332e+01
185;1.850000;-1.295524e+01
186;1.860000;-1.288159e+01
187;1.870000;-1.275876e+01
188;1.880000;-1.258109e+01
189;1.890000;-1.246177e+01
190;1.900000;-1.251775e+01
191;1.910000;-1.239732e+01
192;1.920000;-1.192040e+01
193;1.930000;-1.174318e+01
194;1.940000;-1.214991e+01
195;1.950000;-1.257968e+01
196;1.960000;-1.273235e+01
197;1.970000;-1.269979e+01
198;1.980000;-1.283366e+01
199;1.990000;-1.274920e+01
200;2.000000;-1.245687e+01
201;2.010000;-1.225928e+01
